"https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link","Tipo","Provincia","Localidad","Barrio","Domicilio","Cód. Postal","Cuit","Telefono","Ap.Vacuna","Ap.Vacuna Menor"
"Mammana","Farmacia","Buenos Aires","Mar Del Plata","Rivadavia Bernardino","Chile 2987","7604","20-14541495-5","","Si","Si"
"Mendeleiv Sur","Farmacia","Buenos Aires","Mar Del Plata","San Cayetano","Av. Colón 6699","7600","33-71757346-9","","Si","No"
"Mitre","Farmacia","Buenos Aires","Mar Del Plata","San Cayetano","Av. Colon 2693","7600","30-71150379-6","","Si","Si"
"Nueva Cordoba Scs","Farmacia","Buenos Aires","Mar Del Plata","San Jose","Córdoba 4546, Mar del Plata, Provincia de Buenos Aires, Argentina","7600","33-70774682-9","","Si","Si"
"Nueva Plaza Ii","Farmacia","Buenos Aires","Mar Del Plata","Estrada Jose Manuel","Av. Constitución 5701","7605","30-71146392-1","","No","No"
"Oliveri","Farmacia","Buenos Aires","Mar Del Plata","San Juan","Av. Luro 4102","7600","23-21786632-4","","Si","Si"
"Palkin Colon","Farmacia","Buenos Aires","Mar Del Plata","San Juan","Avenida Colón 3598","7600","30-59446143-2","","Si","No"
"Pharmabeach","Farmacia","Buenos Aires","Mar Del Plata","Termas Huinco","Av. Edison 1582","7600","30-71505690-5","","Si","Si"
"Pharmarural 226","Farmacia","Buenos Aires","Mar Del Plata","Coyunco","Ruta Nacional 226 Km 16,5 El Coyunco,","7601","30-71769386-4","","Si","Si"
"Pharmavip Scs (Farmacia Bauza)","Farmacia","Buenos Aires","Mar Del Plata","Colinas de Peralta Ramos","Avenida Mario Bravo 3453, Mar del Plata, Provincia de Buenos Aires, Argentina","7600","30-71590882-0","","Si","Si"
"Previley 1 - Suc Ramos","Farmacia","Buenos Aires","Mar Del Plata","Sanchez Florencio","J.P. RAMOS AVDA.2413","7608","30-69262395-5","","No","No"
"Previley 2 - Suc Serrat","Farmacia","Buenos Aires","Mar Del Plata","Villa Lourdes","12 DE OCTUBRE 3792","7600","30-71656738-5","","No","No"
"Previley 3 - Suc. Cristi","Farmacia","Buenos Aires","Mar Del Plata","Nueva Pompeya","Avenida Pedro Luro 3804","7603","30-71439919-1","","Si","Si"
"Previley 4 - Suc. Rama","Farmacia","Buenos Aires","Mar Del Plata","Sanchez Florencio","Talcahuano 2002","7608","30-71565056-4","","Si","No"
"Previley 5 - Suc. Flia","Farmacia","Buenos Aires","Mar Del Plata","Don Bosco","San Martín 5521","7600","30-71707895-7","","Si","No"
"Previley 6 - Suc. Flia","Farmacia","Buenos Aires","Mar Del Plata","El Progreso","Av. Fortunato De La Plaza 5120","7600","30-71838002-9","","Si","No"
"Puey-Salud Farmaceutica Scs (Pueyrredon )","Farmacia","Buenos Aires","Mar Del Plata","San Carlos","Avenida Juan B. Justo 1601, Mar del Plata, Provincia de Buenos Aires, Argentina","7600","30-71563652-9","","No","No"
"Riadigos Gascon","Farmacia","Buenos Aires","Mar Del Plata","Centro","Gascón 1299, B7600 Mar Del Plata, Provincia De Buenos Aires","7600","30-71882635-3","","Si","Si"
"Riadigos Guemes","Farmacia","Buenos Aires","Mar Del Plata","Estacion terminal","Castelli 1309","7000","20-14319223-8","","No","No"
"Riadigos San Martin","Farmacia","Buenos Aires","Mar Del Plata","Centro","Peatonal San Martín 2455","7600","27-40344433-8","","Si","Si"
"Santa Teresita","Farmacia","Buenos Aires","Mar Del Plata","Centro","Santiago Del Estero 2903","7600","30-68558349-2","","Si","Si"
"Siempre Farmacias Badanez","Farmacia","Buenos Aires","Mar Del Plata","Centro","San Martin 2149","7600","30-70837810-7","","Si","Si"
"Social S.u.m.a.","Farmacia","Buenos Aires","Mar Del Plata","Funes y San Lorenzo","Dean Funes 3187","7600","30-65313554-4","","Si","Si"
"Szpyrnal","Farmacia","Buenos Aires","Mar Del Plata","San Jose","RODRIGUEZ PEÑA 3695 ESQ. 14 DE JULIO ","7600","30-71600680-3","","Si","No"
"Vacunatorio Previvax Mar Del Plata","Vacunatorio","Buenos Aires","Mar Del Plata","La Perla","25 DE MAYO 3588","7600","30-71441776-9","","Si","No"
"Vacunatorio Previvax Sede Aldrey","Vacunatorio","Buenos Aires","Mar Del Plata","Estacion terminal","Sarmiento 2685, B7600 Mar Del Plata, Provincia De Buenos Aires","7600","30-71441776-9","","Si","No"
"Vacunatorio Proteger Mar Del Plata","Vacunatorio","Buenos Aires","Mar Del Plata","Centro","San Luis 2176","7600","30-54608519-4","","Si","No"
"Castro","Farmacia","Buenos Aires","Mariano H. Alfonzo","","Luis Pasteur 100","2718","27-28215466-3","","Si","Si"
"Farma 365 - Fleming ","Farmacia","Buenos Aires","Martinez","","Av. Sir Alexander Fleming 801, B1640 Martínez, Provincia De Buenos Aires, Argentina","1640","30-71809438-7","","Si","Si"
"Farma 365 - Gtm ","Farmacia","Buenos Aires","Martinez","","Juncal 862, B1640 Martínez, Provincia De Buenos Aires, Argentina","1640","30-65949427-9","","Si","Si"
"Farmacia Behring","Farmacia","Buenos Aires","Martinez","","Av. Santa fe 1399","1640","27-21509254-8","","No","No"
"Farmacia El Fenix","Farmacia","Buenos Aires","Martinez","","Avenida Sir Alexander Fleming 2133","1640","20-11554717-9","","No","No"
"Farmacia Sudamericana","Farmacia","Buenos Aires","Martinez","","HIPOLITO IRIGOYEN  514","1640","20-17606912-1","","No","No"
"Farmatodo - Mark","Farmacia","Buenos Aires","Martinez","","Av. Del Libertador 13932","1640","30-71102449-9","","No","No"
"Open Martinez","Farmacia","Buenos Aires","Martinez","","Av. Sta Fe 1402","1640","30-71830556-6","","No","No"
"Openfarma Sucursal Martinez","Farmacia","Buenos Aires","Martinez","","Avenida Santa Fe 2013","1640","30-58014000-5","","No","No"
"Selma Martinez","Farmacia","Buenos Aires","Martinez","","Avenida Santa Fe 2797","1640","30-69505634-2","","No","No"
"Zona Vital Unicenter Ii","Farmacia","Buenos Aires","Martinez","","LOCAL 1176 (PB) UNICENTER SHOPPING","1640","30-69655353-6","","Si","Si"
"Farmacia Martin","Farmacia","Buenos Aires","Matheu","","Sarmiento 13","1627","27-11336784-4","","Si","No"
"Farmacia Ros","Farmacia","Buenos Aires","Matheu","","NAZARRE 430 - PASEO DEL PUEBLO - LOC 1","5109","27-33084196-1","","No","No"
"Farmacia Di Nucci S.C.S","Farmacia","Buenos Aires","Medanos","","MITRE 220","8132","33-68805766-9","","Si","Si"
"Farmacia Bocca","Farmacia","Buenos Aires","Mercedes","","CALLE 32 N 863","6600","20-22624385-3","","No","No"
"Farmacia Del Pueblo","Farmacia","Buenos Aires","Mercedes","","CALLE 25 N450 ESQUINA 20","6600","20-14524500-2","","No","No"
"Farmacia Silvestre","Farmacia","Buenos Aires","Mercedes","","CALLE 16 NRO 954","6600","27-05633034-3","","No","No"
"Tiseyra","Farmacia","Buenos Aires","Mercedes","","C. 12 1124, B6600 Mercedes","6600","27-32440966-7","","Si","Si"
"Central Oeste - Farmacia De La Estacion Merlo","Farmacia","Buenos Aires","Merlo","","DEL LIBERTADOR 788","B1722ERU","30-70847543-9","","No","No"
"Central Oeste Funes","Farmacia","Buenos Aires","Merlo","","LIBERTADOR 363","1722","30-71573774-0","","No","No"
"Farmacia Curotti","Farmacia","Buenos Aires","Merlo","","Av Jose de San Martin 3225","1721","23-14411930-4","","Si","Si"
"Farmacia Miguel","Farmacia","Buenos Aires","Merlo","","Ricardo Balbin 9430","1723","30-70867185-8","","No","No"
"Farmacia Nuevo Arco","Farmacia","Buenos Aires","Merlo","","Av. Patricios 7485","1722","33-71707465-9","","No","No"
"Farmacia Porvenir","Farmacia","Buenos Aires","Merlo","","Av. San martin 2800","1721","30-71429940-5","","No","No"
"Farmacia Romano","Farmacia","Buenos Aires","Merlo","","Aristobulo del Valle 2898","1722","20-08209402-5","","Si","Si"
"Vantage","Farmacia","Buenos Aires","Merlo","","Presidente Cámpora 2289","1722","30-70895315-2","","Si","No"
"Mara","Farmacia","Buenos Aires","Monte Chingolo","","Eva Perón 4029","1825","23-16104842-9","","No","No"
"Beltran","Farmacia","Buenos Aires","Monte Grande","","Leandro N. Alem 2755","1841","27-36215985-2","","Si","Si"
"Farma 24 Monte Grande","Farmacia","Buenos Aires","Monte Grande","","BOULEVARD BUENOS AIRES 179","B1842CDB","30-71094452-7","","No","No"
"Farmacia Nueva Boggian","Farmacia","Buenos Aires","Monte Grande","","Av. Enrique Santamarina 102","1842","33-71027548-9","","No","No"
"Malvinas -pefesan","Farmacia","Buenos Aires","Monte Grande","","Nuestras Malvinas 450","1838","30-67613768-4","","No","No"
"Monte Grande Farmaceutica S.C.S.","Farmacia","Buenos Aires","Monte Grande","","General Rodríguez 129, Monte Grande, Provincia de Buenos Aires, Argentina","1842","33-58498268-9","","No","No"
"Lopez Maria Florencia","Farmacia","Buenos Aires","Moquehuá","","San Martin 214, B6625 Moquehuá, Provincia De Buenos Aires","6625","27-33385658-7","","No","No"
"Alberdi","Farmacia","Buenos Aires","Moreno","","Martínez Melo 87","1744","30-68155519-2","","No","No"
"Barreto","Farmacia","Buenos Aires","Moreno","","Tucuman 221","1744","30-71752940-1","","Si","No"
"Farmacia Afinidad Social","Farmacia","Buenos Aires","Moreno","","Joly 2597","1744","30-70738010-8","","No","No"
"Farmacia Altos De Moreno","Farmacia","Buenos Aires","Moreno","","Avenida del Libertador 299","1744","30-70724945-1","","Si","No"
"Farmacia Catedral De Moreno","Farmacia","Buenos Aires","Moreno","","Doctor Alberto Vera 24","1744","30-71092053-9","","No","No"
"Farmacia Odeon","Farmacia","Buenos Aires","Moreno","","Bartolome mitre 2899","1744","30-53137058-5","","No","No"
"Farmacia Punto De Salud Del Hiper","Farmacia","Buenos Aires","Moreno","","Av. Gaona Y Graham Bell","1744","30-69304538-6","","No","No"
"Farmacia Social Avenida","Farmacia","Buenos Aires","Moreno","","Av Victorica 502","1744","30-71567113-8","","No","No"
"Farmacia Social Victorica","Farmacia","Buenos Aires","Moreno","","Av Victorica 763","1744","33-71525278-9","","No","No"
"Farmacia Tamara Natalia","Farmacia","Buenos Aires","Moreno","","Av. Del Libertador 4620, B1743 Moreno, Provincia De Buenos Aires, Argentina","1743","30-71729947-3","","No","No"
"Hauke De Farmacia Social Moreno Scs","Farmacia","Buenos Aires","Moreno","","BARTOLOME MITRE AVDA. 2693","1744","30-67931550-8","","Si","No"
"Segault ","Farmacia","Buenos Aires","Moreno","","Zeballos 807 ","1744","20-24627437-2","","No","No"
"Central Oeste - Antigua Farmacia Cravenna","Farmacia","Buenos Aires","Moron","","RIVADAVIA AVDA.18199","1708","30-66007461-5","","No","No"
"Central Oeste - Antigua Farmacia Mareque","Farmacia","Buenos Aires","Moron","","ALMIRANTE BROWN 701","1708","30-70762155-5","","No","No"
"Central Oeste - Farmacia Central Moron ","Farmacia","Buenos Aires","Moron","","RIVADAVIA AVDA. 18161","1708","30-57388674-3","","No","No"
"Central Oeste Halpern ","Farmacia","Buenos Aires","Moron","","CORDOBA 303","1708","30-71652660-3","","No","No"
"Central Oeste- Moderna Farmacia ","Farmacia","Buenos Aires","Moron","","25 DE MAYO 139","1708","30-69704901-7","","No","No"
"Central Oeste Moron","Farmacia","Buenos Aires","Moron","","INDEPENDENCIA 165","1708","30-70847543-9","","No","No"
"Cogliati","Farmacia","Buenos Aires","Moron","","Belgrano 294","1708","27-03976552-2","","No","No"
"De Paoli","Farmacia","Buenos Aires","Moron","","Mendoza 300","1708","27-23045897-4","","No","No"
"Farmacia Bande","Farmacia","Buenos Aires","Moron","","Gobernador Valentín Vergara 91","1708","27-17108703-7","","Si","Si"
"Farmacia Bideberry","Farmacia","Buenos Aires","Moron","","Carmen de Patagones 1253","1708","20-14508828-4","","No","No"
"Farmacia Cogliati San Martin","Farmacia","Buenos Aires","Moron","","GENERAL SAN MARTÍN 499","1708","33-70940330-9","","No","No"
"Farmacia Raspo Moron","Farmacia","Buenos Aires","Moron","","Domingo French 402","1708","30-70868104-7","","Si","Si"
"La Comunitaria De Moron","Farmacia","Buenos Aires","Moron","","9 De Julio 162","1708","30-71458520-3","","Si","No"
"Moron Del Norte -moralejo","Farmacia","Buenos Aires","Moron","","Sarmiento 779","1708","30-71506668-4","","No","No"
"Vac Cepem Consultorios Medicos","Vacunatorio","Buenos Aires","Moron","","Gral. Machado 729","1708","30-70870140-4","","Si","No"
"Villa Sarmiento","Farmacia","Buenos Aires","Moron","","Presidente PeróN 79","1706","27-14204863-4","","Si","Si"
"Nueva Farmacia De Maria","Farmacia","Buenos Aires","Muniz","","Farias 589","1663","30-70945538-5","","Si","No"
"Central Munro","Farmacia","Buenos Aires","Munro","","Vélez Sársfield 4164","1605","30-69512049-0","","Si","Si"
"Farmacia Raspo Munro","Farmacia","Buenos Aires","Munro","","Vélez Sársfield 4875","1605","33-71553243-9","","No","No"
"Tkl Munro","Farmacia","Buenos Aires","Munro","","Avenida Vélez Sarsfield 4653, Buenos Aires, Argentina","1605","30-71067170-9","","Si","No"
"Farmacia Dorrego De Navarro","Farmacia","Buenos Aires","Navarro","","C. 7 252, B6605 Navarro, Provincia De Buenos Aires, Argentina","6605","33-71873808-9","","Si","No"
"Bertagni","Farmacia","Buenos Aires","Necochea","","Av. 59 2965","7630","30-51572873-9","","Si","Si"
"Cruci","Farmacia","Buenos Aires","Necochea","","Av. 59 1270","7630","20-20254992-7","","Si","Si"
"Farmacia Bernasconi","Farmacia","Buenos Aires","Necochea","","Av. 10 Nro 3574","7630","27-16370208-3","","Si","Si"
"Farmacia Española","Farmacia","Buenos Aires","Necochea","","C. 62 2946","","20-12964561-0","","Si","Si"
"Farmacia Mutual De La Sociedad Espanola Socorros Mutuos","Farmacia","Buenos Aires","Necochea","","Avenida 59 N 2433","7630","30-51759227-3","","No","No"
"Farmacia Oyhamburu Playa","Farmacia","Buenos Aires","Necochea","","Av. 2, Villa Díaz Vélez 4296, B7630 Necochea, Provincia De Buenos Aires, Argentina","7630","33-71651995-9","","Si","No"
"Malmierca","Farmacia","Buenos Aires","Necochea","","C. 57 2898","7630","20-16707994-7","","Si","Si"
"Oyhamburu","Farmacia","Buenos Aires","Necochea","","C. 63 2901","7630","30-70878575-6","","Si","Si"
"Pappaterra","Farmacia","Buenos Aires","Necochea","","Av. 91 1516","7630","27-18202192-5","","Si","Si"
"Vacunatorio Preventive Life ","Vacunatorio","Buenos Aires","Nordelta","","Av. De Los Lagos 6855","1670","30-71097095-1","","Si","No"
"Alem Graciela Isabel (Farmacia Alem)","Farmacia","Buenos Aires","Olavarria","","RIVADAVIA 2957","7400","27-16768300-8","","No","No"
"Ceco-Ceco (Farmacia Ceco)","Farmacia","Buenos Aires","Olavarria","","Coronel Suárez 2752, Olavarría, Provincia de Buenos Aires","7400","30-53182256-7","","Si","No"
"Disanti","Farmacia","Buenos Aires","Olavarria","","Rivadavia 1802","7400","30-71906801-0","","Si","Si"
"Failla","Farmacia","Buenos Aires","Olavarria","","Chacabuco 2197","7400","27-17288816-5","","Si","No"
"Farmacia Alvarez","Farmacia","Buenos Aires","Olavarria","","BELGRANO 2897","7400","20-23128989-6","","Si","No"
"Farmacia A.M.M.B.A. Loma Negra","Farmacia","Buenos Aires","Olavarria","","Brown 1274, Loma Negra","7403","30-63497331-8","","No","No"
"Farmacia Betz","Farmacia","Buenos Aires","Olavarria","","Avenida Pringles 2035, Olavarría, Provincia de Buenos Aires, Argentina","7400","27-34623725-8","","Si","No"
"Farmacia Fenix","Farmacia","Buenos Aires","Olavarria","","Vicente López 2255, Olavarría, Provincia de Buenos Aires, Argentina","7400","30-66663191-5","","No","No"
"Farmacia Ferrero","Farmacia","Buenos Aires","Olavarria","","Av de los Trabajadores 3335","7400","20-21638267-7","","No","No"
"Farmacia Gomez","Farmacia","Buenos Aires","Olavarria","","Av Centenario, Esq. Bartolomé Mitre 1299","7401","20-14780728-8","","Si","Si"
"Farmacia Magistral","Farmacia","Buenos Aires","Olavarria","","Av. Sarmiento 2919","7400","20-22143033-7","","No","No"
"Farmacia Melffi","Farmacia","Buenos Aires","Olavarria","","Necochea 2986","7400","27-21797055-0","","No","No"
"Farmacia San Jose","Farmacia","Buenos Aires","Olavarria","","Av Pueyrredon 3166","7400","27-23457174-0","","No","No"
"Farmacia Spinola","Farmacia","Buenos Aires","Olavarria","","Necochea 3282","7400","27-17492687-0","","No","No"
"Martel","Farmacia","Buenos Aires","Olavarria","","España 2694, Olavarría, Provincia de Buenos Aires","7400","27-03761257-5","","No","No"
"Modo Farma Olavarria","Farmacia","Buenos Aires","Olavarria","","AV. SARMIENTO 1746","7400","30-71844363-2","","Si","No"
"Pacheco","Farmacia","Buenos Aires","Olavarria","","Av. Pellegrini 3194","7400","23-24813811-4","","Si","No"
"Spina","Farmacia","Buenos Aires","Olavarria","","Belgrano 1955","7400","27-20047849-0","","No","No"
"España","Farmacia","Buenos Aires","Olivos","","Gdor. Marcelino Ugarte 2401, B1636 Olivos, Provincia De Buenos Aires","1636","20-16639407-5","","Si","Si"
"Farmacia Borges","Farmacia","Buenos Aires","Olivos","","Roma 800, esquina Rioja","1636","30-70771111-2","","No","No"
"Farmacia Romani","Farmacia","Buenos Aires","Olivos","","AV. MAIPU N 3548","1636","20-22991724-3","","Si","No"
"Farmacia Selma ","Farmacia","Buenos Aires","Olivos","","Av. Maipú 2440, Olivos, Provincia de Buenos Aires, Argentina","1636","30-66389954-2","","Si","Si"
"Farmaolivos","Farmacia","Buenos Aires","Olivos","","DEL LIBERTADOR AVDA. 2217","1636","33-70905528-9","","Si","Si"
"Selma La Suizo","Farmacia","Buenos Aires","Olivos","","AV. MAIPU 2223","1636","30-58266487-7","","Si","No"
"Selma Olivos","Farmacia","Buenos Aires","Olivos","","Avenida Maipú 3201","1636","20-10833619-7","","No","No"
"Del Puebo Open  Door","Farmacia","Buenos Aires","Open Door","","Bv. Dr. Domingo Cabred 560, B6708ant Open Door","6708","20-24001625-8","","Si","No"
"Farmacia Rey","Farmacia","Buenos Aires","Open Door","","Bueno Aires 954","6708","20-25351778-7","","Si","Si"
"Carricaburu","Farmacia","Buenos Aires","Pablo Podesta","","Benito Perez Galdos 8406","1657","27-17740261-9","","Si","Si"
"Farmacia Rodriguez","Farmacia","Buenos Aires","Pablo Podesta","","Presidente perón 8950","1687","27-01445845-5","","Si","No"
"Farmacia Dohval","Farmacia","Buenos Aires","Parada Robles","","COLECTORA LOS PINOS 334","6703","27-30555536-9","","No","No"
"Axion Farma","Farmacia","Buenos Aires","Paso Del Rey","","QUILMES 4521","1742","30-71499276-3","","No","No"
"Farmacia Cientifica Farmax Scs","Farmacia","Buenos Aires","Paso Del Rey","","Salvador María del Carril 325, Paso del Rey, Buenos Aires Province, Argentina","1742","30-70809068-5","","No","No"
"Farmacia Plazza","Farmacia","Buenos Aires","Paso Del Rey","","Avenida Bartolomé Mitre 1322","1742","27-17770102-0","","Si","No"
"Plazza","Farmacia","Buenos Aires","Paso Del Rey","","Av. Bartolomé Mitre 1395, Moreno, Provincia De Buenos Aires","1742","27-17770102-0","","Si","Si"
"Del Aguila","Farmacia","Buenos Aires","Pehuajo","","Leandro N. Alem 501, B6450 Bbk, Provincia De Buenos Aires","6450","30-71664661-7","","Si","No"
"Descarrega","Farmacia","Buenos Aires","Pehuajo","","Varela 792 ","6450","20-16624256-9","","No","No"
"Farmacia Alvarez","Farmacia","Buenos Aires","Pehuajo","","Alfonsin 475","6450","30-71602955-3","","No","No"
"Farmacia Lopez","Farmacia","Buenos Aires","Pehuajo","","HipóLito Yrigoyen 46","6450","27-22265673-2","","No","No"
"Farmacia Pehuajo","Farmacia","Buenos Aires","Pehuajo","","Leandro N. Alem 998, Pehuajó, Provincia de Buenos Aires, Argentina","6450","30-71385630-0","","Si","Si"
"Farmacia Sindical Pehuajo","Farmacia","Buenos Aires","Pehuajo","","Pte. Raúl Ricardo Alfonsín 660","6450","30-54219836-9","","Si","Si"
"Fernandez","Farmacia","Buenos Aires","Pehuajo","","BARTOLOMÉ MITRE 337","6450","30-70819034-5","","No","No"
"Maria Celeste Adreozzi Scs","Farmacia","Buenos Aires","Pehuajo","","ALSINA 665","6450","30-71202931-1","","Si","No"
"Alcobendas","Farmacia","Buenos Aires","Pergamino","","Av. Ernesto Illia 1798","2700","27-17948098-6","","No","No"
"Bauza Pergamino","Farmacia","Buenos Aires","Pergamino","","Av. De Mayo 205","2700","20-16210375-0","","Si","No"
"Chacon","Farmacia","Buenos Aires","Pergamino","","Scalabrini Ortiz 711","2700","27-16748415-3","","Si","Si"
"De Gaetani","Farmacia","Buenos Aires","Pergamino","","Merced 1102","2700","27-20017109-3","","No","No"
"El Aguila","Farmacia","Buenos Aires","Pergamino","","Avenida Centenario 153, Acevedo, Pergamino","2717","20-32345372-2","","Si","Si"
"Farmacia Del Cruce","Farmacia","Buenos Aires","Pergamino","","Yrigoyen 946","2700","27-22194155-7","","No","No"
"Farmacia Del Pueblo","Farmacia","Buenos Aires","Pergamino","","San Nicolas 600","2700","20-22025268-0","","No","No"
"Farmacia Gaich","Farmacia","Buenos Aires","Pergamino","","Avenida Juan B. Justo 2383, B2700 Pergamino, Provincia De Buenos Aires, Argentina","2700","20-23090554-2","","Si","Si"
"Farmacia Gallo","Farmacia","Buenos Aires","Pergamino","","Blvd. Alsina 912","2700","27-23961791-9","","Si","Si"
"Farmacia La Licata","Farmacia","Buenos Aires","Pergamino","","Blvd. Colón 1446","2700","27-28060374-6","","Si","Si"
"Farmacia Mutual Federada (pergamino)","Farmacia","Buenos Aires","Pergamino","","R. FOURNIER 1646","2700","30-54159260-8","","No","No"
"Farmacia Sierra","Farmacia","Buenos Aires","Pergamino","","Blvd. Rocha 162, Pergamino, Provincia De Buenos Aires, Argentina","2700","27-20407166-2","","Si","Si"
"Farmacia Speranza","Farmacia","Buenos Aires","Pergamino","","Av. de Mayo 1160","2700","27-16415220-6","","No","No"
"Farmacia Vaschetti","Farmacia","Buenos Aires","Pergamino","","9 De Julio 186","2700","20-21774089-5","","No","No"
"Fernandez","Farmacia","Buenos Aires","Pergamino","","Marcelino Ugarte 447","2700","27-35085300-1","","Si","No"
"Fernandez","Farmacia","Buenos Aires","Pergamino","","San Luis Y Córdoba S/n","","27-32539539-2","","Si","Si"
"Galleto","Farmacia","Buenos Aires","Pergamino","","Av. Jauregui 1959","2700","27-26662588-5","","No","No"
"Galli","Farmacia","Buenos Aires","Pergamino","","Av Colon 598","2700","27-26662679-2","","Si","Si"
"Garyulo","Farmacia","Buenos Aires","Pergamino","","Castelli 109, Pergamino, Provincia De Buenos Aires","2700","27-20143042-4","","Si","Si"
"Lepes","Farmacia","Buenos Aires","Pergamino","","Humberto Primo S/n. El Socorro","2715","27-17055355-7","","No","No"
"Mariani","Farmacia","Buenos Aires","Pergamino","","Blvd. Ameghino 405","2700","27-31364076-6","","Si","Si"
"Martinez","Farmacia","Buenos Aires","Pergamino","","Dr. Alem 875, B2700 Pergamino, Provincia De Buenos Aires","2700","23-24193711-9","","Si","Si"
"Masera","Farmacia","Buenos Aires","Pergamino","","Bolivia 628, B2700 Pergamino, Provincia De Buenos Aires","2700","27-14725950-1","","Si","Si"
"Piergallini","Farmacia","Buenos Aires","Pergamino","","Blvd. Ameghino 2002","2002","27-20959052-8","","No","No"
"Pretini","Farmacia","Buenos Aires","Pergamino","","M Lebensohn 02055","2700","27-37930530-5","","No","No"
"Ventola","Farmacia","Buenos Aires","Pergamino","","av pellegrini 2989","2700","27-25007136-7","","Si","No"
"Verdun","Farmacia","Buenos Aires","Pergamino","","Maipú 602","2700","27-33263830-6","","Si","No"
"Zeppa","Farmacia","Buenos Aires","Pergamino","","Blvd. Florencio Sánchez 1050","2700","27-22025452-1","","No","No"
"Meaurio","Farmacia","Buenos Aires","Pila","","Hernan Cortez 605","1629","27-32961561-3","","Si","Si"
"Vila Center Iii","Farmacia","Buenos Aires","Pila","","Los Crisantemos 392","1667","30-71796676-3","","Si","Si"
"Altohey","Farmacia","Buenos Aires","Pilar","","Panamericana Km. 50 - Complejo Hey","1629","30-71567103-0","","No","No"
"Cecilia Soria","Farmacia","Buenos Aires","Pilar","","Av. Luis Lagomarsino 1910","1630","30-71665291-9","","Si","Si"
"Champagnat","Farmacia","Buenos Aires","Pilar","","Av. 12 De Octubre 9986 ","1629","30-71705370-9","","Si","Si"
"Del Nuevo Paseo","Farmacia","Buenos Aires","Pilar","","Ruta Panamericana Ramal Pilar Km 54,5","1629","30-71160291-3","","Si","Si"
"Estacion Pilara","Farmacia","Buenos Aires","Pilar","","Centro Comercial Estacion, Lavalle 995","1629","30-71689779-2","","Si","Si"
"Farmacia Alvarez","Farmacia","Buenos Aires","Pilar","","Araoz Alfaro 1425","1635","20-13642356-9","","No","No"
"Farmacia Antesca","Farmacia","Buenos Aires","Pilar","","Av. V. Castro 1409","1629","30-71852108-0","","Si","Si"
"Farmacia Antigua Pozuelo","Farmacia","Buenos Aires","Pilar","","RIVADAVIA 702","1629","30-70488948-9","","Si","No"
"Farmacia Baretta","Farmacia","Buenos Aires","Pilar","","Victor Vergani 873, Pilar, Provincia de Buenos Aires, Argentina","1629","30-58266357-9","","Si","Si"
"Farmacia Binetti","Farmacia","Buenos Aires","Pilar","","Fermin Gamboa 4","1629","30-71569695-5","","Si","Si"
"Farmacia Del Concord","Farmacia","Buenos Aires","Pilar","","Valentin Gomez Y Panamericana Km 49,50","1629","30-71088071-5","","No","No"
"Farmacia Domenech ","Farmacia","Buenos Aires","Pilar","","Hipólito Yrigoyen 681, B1629 Pilar, Provincia De Buenos Aires, Argentina","1629","30-71593357-4","","Si","No"
"Farmacia Marquez 1213","Farmacia","Buenos Aires","Pilar","","Av. Tomás Márquez 1213","1629","30-71811304-7","","Si","No"
"Farmacia Pilar Farma","Farmacia","Buenos Aires","Pilar","","Manuel de Sarratea 15, Manuel Alberti, Pilar, Provincia de Buenos Aires, Argentina","1629","30-71532595-7","","Si","Si"
"Farmacia Pilu -  Nueva Rivadavia","Farmacia","Buenos Aires","Pilar","","Aal Pilar Centro Buenos Aires Ar, B. Rivadavia 516","1629","30-71178042-0","","Si","Si"
"Farmacia Sanguinetti","Farmacia","Buenos Aires","Pilar","","Avenida Tomás Márquez 1017, Pilar Centro, Provincia de Buenos Aires, Argentina","1629","33-71196906-9","","Si","No"
"Farmacia Tucuman","Farmacia","Buenos Aires","Pilar","","Tucuman 431","1629","27-14670480-3","","Si","Si"
"Farmaplus Sucursal 47 Pilar","Farmacia","Buenos Aires","Pilar","","Schubert 1950 ","1631","30-71779982-4","","Si","No"
"Km 47.5","Farmacia","Buenos Aires","Pilar","","Colectora Este Ramal Km 47,5","1629","30-71617761-7","","Si","Si"
"Las Magnolias Scs (Zona Vital Pilar)","Farmacia","Buenos Aires","Pilar","","PANAMERICANA KM 50 (JUNTO A JUMBO/EASY)","1629","30-69699885-6","","Si","Si"
"Misparza","Farmacia","Buenos Aires","Pilar","","La Escala, Paseo Comercial, R. Caamaño 1175, La Lonja, Provincia De Buenos Aires","1629","30-71862759-8","","No","No"
"Paraza","Farmacia","Buenos Aires","Pilar","","Ruta Panamericana Ramal Pilar Km. 50, Shopping Torres Del Sol","1629","30-71862756-3","","No","No"
"Quinta 46","Farmacia","Buenos Aires","Pilar","","Sor Teresa 169","1629","30-71780436-4","","Si","Si"
"Rossi","Farmacia","Buenos Aires","Pilar","","Quirno Costa 322","1633","20-27234930-5","","Si","Si"
"S.m.a.l. S.c.s.","Farmacia","Buenos Aires","Pilar","","Colectora Oeste 12 De Octubre 1453 Panamericana Ramal Pilar Km 52,5","1629","27-21786697-4","","Si","Si"
"Stringa","Farmacia","Buenos Aires","Pilar","","Av Colect Panam 12 De Octubre Km 56","1629","30-71728523-5","","Si","Si"
