https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link,Tipo,Provincia,Localidad,Barrio,Domicilio,Cód. Postal,Cuit,Telefono,Ap.Vacuna,Ap.Vacuna Menor
Chacon,Farmacia,Buenos Aires,Pergamino,,Scalabrini Ortiz 711,2700,27-16748415-3,2477554361,Si,Si
Farma Saos,Farmacia,Buenos Aires,Los Polvorines,,José León Suárez 2939,1613,30-70894968-6,52923851,Si,Si
Farmas+,Farmacia,Cordoba,Sacanta,,25 De Mayo 333,5945,27-21756610-5,3533-409495,Si,Si
Micaela Iglesias,Farmacia,Santa Fe,Rosario,,"Güemes 2499, S2000jbe Rosario, Santa Fe",2000,27-34411443-4,3416547032,Si,No
Sullivan,Farmacia,Buenos Aires,San Antonio De Padua,,"Sullivan 1484, B1718 San Antonio De Padua, Provincia De Buenos Aires",1718,30-70533923-2,1157477755,Si,No
Guidi,Farmacia,Buenos Aires,Zarate,,"Hipólito Yrigoyen 500, B2800 Zárate, Provincia De Buenos Aires",2800,27-16601412-9,3487515971,Si,No
Caballito,Farmacia,Capital Federal,Capital Federal,1405,"Neuquén 1034, C1405ckl Cdad. Autónoma De Buenos Aires",,33-71901813-9,1130346220,Si,No
Lopez De Maturana,Farmacia,Santa Fe,Chañar Ladeado,,Santa Fe 564,2143,27-30996009-8,3468598469,No,No
Farmacia Internacional,Farmacia,Buenos Aires,La Plata,,C. 3 761 Entre 47 Y 48,1900,20-31982860-6,2214388331,No,No
Farmacia Sindical Centroempleados De Comerc,Farmacia,Cordoba,Las Varillas,,Escribano Luis Morelli 253,5940,30-60577292-3,03533-422068/9,No,No
Gervatti,Farmacia,Santa Fe,Rosario,,"Bv. Avellaneda Bis 967, S2013ewe Rosario, Santa Fe",2013,27-20269223-6,3415842992,No,No
Farmacia Zan,Farmacia,Santa Fe,Rosario,,"San Juan 2729, S2000 Rosario, Santa Fe",,27-30710952-8,3413075585,Si,No
Farmacia Sur,Farmacia,Buenos Aires,Mar Del Plata,,Av. Colón 5398,7600,20-25898094-9,2235373497,Si,Si
Nueva Patria - Acerbi I ,Farmacia,Cordoba,Capilla Del Monte,,Rivadavia 420,5184,30-70851740-9,(0351) 156831106,No,No
Biofarma,Farmacia,Cordoba,Villa Ascasubi,,9 De Julio 143,5935,27-33844917-3,(03571) 535433,No,No
Sanchez Carestia,Farmacia,Cordoba,Villa Carlos Paz,,"Avenida Ramón J. Cárcano 427, Villa Carlos Paz, Provincia de Córdoba, Argentina",5152,27-32873467-8,(0351)42-8561,No,No
Ng Farma,Farmacia,Cordoba,San Antonio De Arredondo,,AV. CURA BROCHERO 1810,5153,27-23419365-7,(03541) 431935,Si,No
Farmasut,Farmacia,Cordoba,Cordoba,,AMBROSIO OLMOS 595,5000,30-68976435-1,(0351) 8048891,No,No
Mundial Iii,Farmacia,Cordoba,Cordoba,,José Baigorri 763,5001,30-70885397-2,(0351) 4409060,No,No
Mundial Iv,Farmacia,Cordoba,Cordoba,,Av. Rafael Núñez 4406,5009,30-70885397-2,(0351) 4338290,No,No
Nueva Patria ,Farmacia,Cordoba,Cordoba,,24 de Septiembre,5000,30-70851740-9,(0351) 4533239,No,No
Farmacia Peragallo,Farmacia,Cordoba,Cordoba,,27 DE ABRIL 217,5000,27-16180630-2,(0351)422-3215,No,No
Farmacia San Carlos Sud,Farmacia,Cordoba,Cordoba,,Bernardo O'Higgins 2643,5014,24-30968106-8,(0351)4641006 / (0351)4640227,No,No
Farmacia Sassaroli,Farmacia,Cordoba,Villa Carlos Paz,,"Avenida Uruguay 493, Villa Carlos Paz, Provincia de Córdoba, Argentina",5152,27-22772732-8,(03541)42-0018,No,No
Sucre,Farmacia,Cordoba,Cordoba,,José Antonio De Sucre 291,5000,20-21395258-8,3514214803,No,No
Prataviera Liliana ,Farmacia,Cordoba,Cordoba,,NEPER 6079,5021,27-13491176-5,(03543)426135,No,No
1455 Laguzzi Scs,Farmacia,Buenos Aires,Grand Bourg,,"Juan Francisco Seguí 1455, Grand Bourg, Provincia de Buenos Aires, Argentina",B1615MNM,30-71428395-9,(02320)480-292,No,No
Prosperi,Farmacia,Cordoba,Luque,,San Martín 129,5967,27-20075620-2,(03573)480-689,No,No
Farmacia Ronchi,Farmacia,Santa Fe,Rosario,,3 de Febrero 1283,2000,27-17897660-0,(0341)411-3333,No,No
Farmacia Bondieu,Farmacia,Santa Fe,Arroyo Seco,,San Martín 621,2128,27-17324172-6,(03402)426428,No,No
Vescio,Farmacia,Santa Fe,Rosario,,Velez Sarfield 369,2000,27-14016127-1,(0341) 4371584,No,No
Aldaya,Farmacia,Cordoba,Cordoba,POETA LUGONES,Javier Lascano Colodrero 2771,5008,30-70766939-6,(0351) 4773840 / 4214730,Si,No
Asociacion Mutual Choferes De Taxi (Casa Central),Farmacia,Cordoba,Villa Carlos Paz,,JUAN B. JUSTO 364,5152,30-57878319-5,(03541)431-516 int 104,No,No
Farmagroup Srl,Farmacia,Cordoba,Cordoba,LAS ROSAS,NAZARET 3182,5000,30-71193006-6,(0351)589-0950,No,No
Fornero,Farmacia,Cordoba,Cordoba,,Ciudad De Tampa 2490,5008,27-22036450-5,(0351) 4886250,Si,No
Farmacia Magna,Farmacia,Cordoba,Cordoba,,Calle Fray L Beltran 2657,5008,27-20268756-9,(0351)4760555,Si,Si
Santiso Norma (Farmacia Santiso Suc 2),Farmacia,Cordoba,Cordoba,,Av. Colón 1395,5000,27-06059869-5,(0351) 424-6008,Si,No
Farmacia El Indio,Farmacia,Salta,Salta,,Mitre 400,4400,30-70854661-1,(0387) 4212260,No,No
Lafranchi,Farmacia,Santa Fe,Rosario,,PELLEGRINI AVDA. 1909,2000,27-10557199-8,(0341)485-9686,Si,Si
Piccone,Farmacia,Cordoba,Alta Gracia,,"Ingeniero Olmos 102, Alta Gracia, Provincia De Córdoba, Argentina",5186,23-24841186-4,(03547) 503223,No,No
 Sastre,Farmacia,Cordoba,Alta Gracia,,AV. SARMIENTO 598,5186,27-27046004-1,354715577214,Si,No
Bonciolini,Farmacia,Cordoba,Alta Gracia,,Av del Libertador 1069,5186,27-23536510-9,3547578502,No,No
Farmacia Barrandeguy,Farmacia,Cordoba,Alta Gracia,,24 de Septiembre 179,5186,20-17393035-7,(03547) 422440,Si,No
Adami,Farmacia,Santa Fe,Rosario,,Av. Pellegrini 3456,2000,27-12522753-3,(0341) 4304135,No,No
Knobel,Farmacia,Santa Fe,Rosario,,SARMIENTO 4590,2000,27-05661792-8,(0341)463-6746,No,No
Farmacia Curto,Farmacia,Santa Fe,Rosario,,"San Lorenzo 2299, Rosario, Provincia de Santa Fe, Argentina",2000,27-17913619-3,(0341)445-0717,No,No
Salcedo,Farmacia,Cordoba,Cordoba,,Roma 1130,5004,27-18397819-0,(0351) 7637489,No,No
 Farmacia Ceconi,Farmacia,Santa Fe,Rosario,,"Juan B. Justo 7235, Rosario, Santa Fe, Argentina",2000,27-16076395-2,(0341) 4576561 / 156530315,No,No
San Cayetano,Farmacia,Santa Fe,Rosario,,Buenos Aires 2554,2000,27-13689229-6,(0341) 4856840,No,No
Farmacia Entreconti,Farmacia,Santa Fe,Rosario,,"Avenida Ovidio Lagos 5106, Rosario, Santa Fe, Argentina",2000,27-20354680-2,(0341)463-1074,No,No
Farmacia Paris,Farmacia,Cordoba,Cruz Del Eje,,Rivadavia 302,5280,27-10695334-7,(03549) 422293,No,No
San Martino,Farmacia,Santa Fe,Rosario,,SORRENTO AVDA. 774,2000,27-12526072-7,(0341) 4551468,No,No
Farmacia Express Mdq,Farmacia,Buenos Aires,Mar Del Plata,,Falucho 1602,7600,30-71301780-5,2235331904,Si,No
Meyer,Farmacia,Buenos Aires,City Bell,,CAMINO BELGRANO 635,1894,33-71455992-9,(0221) 4722323,No,No
Farmacia Scasso,Farmacia,Buenos Aires,La Plata,,CALLE 3 N 1477,1904,23-31952704-4,(0221)483-1197,No,No
Farmacia Punilla,Farmacia,Cordoba,Cosquin,,SAN MARTIN 636,5166,27-16632711-9,(03641)451060,Si,Si
Caporizzo,Farmacia,Santa Fe,Santo Tome,,MARIANO CANDIOTI 2801,3016,27-25116224-2,(0342) 4745858,Si,No
San Matin 9,Farmacia,Rio Negro,General Roca,,Av. Gral. Julio Argentino Roca 85,8332,30-68953878-5,2984 87-6168,Si,Si
Farmacia Rio,Farmacia,Cordoba,Arguello,,Recta Martinoli 8254,5147,27-22512018-3,(03543) 446765,No,No
Farmacia Daniela Milovich,Farmacia,Cordoba,Villa Allende,,"Avenida Goycochea 557, Villa Allende, Córdoba, Argentina",5105,30-71181849-5,(03543)431407,No,No
Ng Avenida,Farmacia,Cordoba,Villa Carlos Paz,,AV. SAN MARTIN 1810,5152,27-32500984-4,(03541) 431707,No,No
Valentini,Farmacia,Cordoba,Cordoba,,PANAMÁ 2356,5004,20-24692053-3,(0351)451-1280,No,No
Palopoli Ana (Farmacia Palopoli),Farmacia,Buenos Aires,San Francisco Solano,, AVDA.844 NUMERO 600,1846,20-10611896-6,(011)4250-3314,Si,No
Fridman,Farmacia,Buenos Aires,Zarate,,Felix Pagola 1487,2800,30-71746792-9,(03487) 423020,No,No
Lider Iii,Farmacia,Capital Federal,Capital Federal,,"Parque Avellaneda, Av. Eva Perón 4896",1407,30-70799300-2,1161561420,Si,Si
Lucca,Farmacia,Buenos Aires,Campana,,SARMIENTO 204,2804,30-71150567-5,03489-422577,No,No
Lavalle,Farmacia,Mendoza,Lavalle Villa Tulumaya,,Mariano Moreno 144,5533,27-13793709-9,2613603338,Si,Si
Fornes,Farmacia,Buenos Aires,Campana,,Becerra 891,2804,30-71628095-7,(03489) 426378,Si,Si
Ricci,Farmacia,Buenos Aires,Campana,,Av. Dr. Ricardo Balbín 880,ICCIR,27-30516056-9,(03489) 421984,Si,No
Cr Salud,Farmacia,Buenos Aires,Zarate,,Sarmiento 540,2800,30-70434752-5,(03487) 440213,Si,No
Farmacia Soria,Farmacia,Buenos Aires,Berazategui,,Av. 7 N° 1198,1884,30-71467807-4,(011) 4261-3137,Si,No
Farmacia O'Donnell,Farmacia,Buenos Aires,Ranelagh,,"CALLE 316 NRO 1983 - Ranelagh, Buenos Aires",1886,20-24343785-8,(011) 42230717,No,No
Novofarma,Farmacia,Cordoba,Leones,,D. HernáNdez 1006,2594,27-33728070-1,0353-5623866,No,No
Farmax Ii,Farmacia,Cordoba,Oncativo,,Las Heras 151,5986,20-18408271-4,(03572) 462571,No,No
Farmacia Marengo,Farmacia,Cordoba,General Deheza,,Santa Fe 542,5923,20-06603054-8,(0358)405-0266,No,No
Farmacia Stricker,Farmacia,Buenos Aires,Zarate,,RIVADAVIA 901,2800,27-22166013-2,(03487)422520,No,No
 Farmacia Lacarra S.C.S.,Farmacia,Buenos Aires,Gerli,,LACARRA 1702,1870,30-57863986-8,(011) 42046833,No,No
Farmacia Lider Ii,Farmacia,Capital Federal,Capital Federal,Floresta,AV. RIVADAVIA 8749,1407,30-70794229-7,(011) 39761280,Si,Si
Farmacia Zandonadi,Farmacia,Buenos Aires,Punta Alta,,Brown 151,8109,20-17478960-7,(02932) 432443 / 432727,Si,No
Del Siglo,Farmacia,Mendoza,San Martin,,Balcarce 2,5570,30-67211320-9,(0263 ) 4421824,No,No
Farmaplus Sucursal 52 Luro,Farmacia,Capital Federal,Capital Federal,,Av. Lope De Vega 1397,1407,30-68728807-2,1128926972,Si,Si
Abelenda,Farmacia,Buenos Aires,Saladillo,,Entre Ríos 1070,7260,30-71546685-2,02344 452240,Si,No
Big Pharmacy,Farmacia,Capital Federal,Capital Federal,,Paraguay 615,1057,30-70814960-4,11 2475-0305,Si,Si
San Francisco,Farmacia,Salta,Salta,CENTRO,DEAN FUNES 596,4400,33-68125608-9,(0387)421-2984,No,No
Farmacia Liberatore,Farmacia,Santa Fe,Rosario,,OVIDIO LAGOS 5436,2011,27-23964135-6,(0341) 4652269,No,No
Alvarez,Farmacia,Buenos Aires,Haedo,,Directorio 1899,1706,27-34229587-3,011-44430134,Si,Si
Farmacia Mondino,Farmacia,Cordoba,Porteña,,San Martin 658,X2415BQS,27-22423074-0,(03564) 450695,Si,Si
Difarma Vi,Farmacia,Cordoba,Cordoba,,Calle Publica N° 3951 Mzna 69 Lote 7 Local 2 B° Manantiales Ii,2671,30-70915213-7,(03513) 821073,No,No
25 De Mayo,Farmacia,Buenos Aires,Bahia Blanca,,25 de mayo 502,8000,30-69589443-7,(0291) 4524245,No,No
Del Aguila,Farmacia,Buenos Aires,La Plata,,CALLE 9 NUMERO 700,1900,30-70749744-7,0221 421-0892,Si,No
Farmacia Santa Maria,Farmacia,Tucuman,Monteros,,BELGRANO 275,4142,27-17892719-7,(03863) 426538,No,No
Medrano,Farmacia,Mendoza,Medrano,,"Rp65, Medrano, Mendoza",5585,30-61050903-3,0263-4491430,No,No
Porteña Sarmiento,Farmacia,Capital Federal,Capital Federal,,Sarmiento 2102,1044,30-71790851-8,49537837,No,No
Faraday Lacroze,Farmacia,Capital Federal,Capital Federal,CHACARITA,LACROZE AVDA. 4125,1427,30-60275578-5,(011)4553-6100,Si,Si
Aloy S.C.S,Farmacia,Buenos Aires,La Plata,,CALLE 43 NUMERO 439,1902,30-70740666-2,2214210926,No,No
Biosalud,Farmacia,Cordoba,Pilar,,Rafael Nuñez 1241,5972,23-17101319-4,(03572) 472432,No,No
San Francisco X,Farmacia,Salta,Salta,,Complejo Garden Mall Mzna 7 Lote 1 Local 29 - San Lorenzo,4401,33-68125608-9,(0387) 3083777,Si,Si
Farmacia Allamprese,Farmacia,Santa Fe,Rosario,,ZEBALLOS 1264,2000,27-39502995-4,(0341) 5898207,No,No
Ma Garcia,Farmacia,Santa Fe,Rosario,,Guatemala 1403,2008,27-22908076-3,(0341) 4560702,No,No
Farmacia Igarza,Farmacia,Buenos Aires,La Plata,,Calle 66 N 145,1904,27-13454282-4,(0221) 4824696,No,No
Farmacia Alvarez,Farmacia,Buenos Aires,Pilar,,Araoz Alfaro 1425,1635,20-13642356-9,02304-485-611,No,No
Asklepios Farm,Farmacia,Cordoba,Laguna Larga,,San Nicolas 346,,27-32292350-9,357215507473,No,No
Maestro Vidal,Farmacia,Cordoba,Cordoba,,Maestro Vidal 1700,5010,20-26291464-0,(0351) 4658214,No,No
Grassi,Farmacia,Santa Fe,Rosario,,Alvear 894,2000,27-34424814-7,341-8373905,No,No
 Las Rosas,Farmacia,Mendoza,Colonia Las Rosas,,"Rp92, Col. Las Rosas, Mendoza",5565,20-12778457-5,(0261) 3344180,No,No
De Gaetani,Farmacia,Buenos Aires,Pergamino,,Merced 1102,2700,27-20017109-3,2477418525,No,No
Farmacia Badoglio,Farmacia,Santa Fe,Rosario,,Montevideo 6387,2008,27-31631233-6,(0341) 4570100,No,No
Farmacia Mutual Independencia,Farmacia,Santa Fe,Carcaraña,,Av Belgrano 1166 subsuelo,2138,30-63050338-4,(0341) 7405136,No,No
Farmacia Cecilia Rojas,Farmacia,Santa Fe,San Lorenzo,,AV SAN MARTIN 1169,2200,27-31213057-8,(03476) 424521,No,No
Farmacia Recalde Ii,Farmacia,Entre Rios,Gualeguay,,Boulevard San Juan 950,2840,27-37544207-3,(03444) 15573018,No,No
Red Cordoba Shopping,Farmacia,Cordoba,Cordoba,,Jose Antonio De Goyechea 2851,5000,30-71569993-8,8002222299,No,No
Farmacia Donadio,Farmacia,Santa Fe,Santa Fe,,Javier de la Rosa 322,3000,20-18043206-0,(0342) 4606020,No,No
Farmacia Puntana,Farmacia,San Luis,San Luis,,Av España 571,5700,30-63416798-2,(02664) 332770,No,No
Farmacia Romanutti,Farmacia,Cordoba,Colonia Caroya,,C. Humberto Venturini Sur 161,5223,20-25139373-8,(03525) 465405,No,No
Farmacia Puricelli,Farmacia,Buenos Aires,La Plata,,Av. 7 N 1851,1900,27-25316609-1,(0221) 4219190,No,No
Farmacia Angelinetta,Farmacia,Santa Fe,San Jorge,,Alberdi 1105,2542,23-31038811-4,(03406) 443576,No,No
Farmacia Nueva Coronel Aguirre,Farmacia,Buenos Aires,Rafael Calzada,,CORONEL AGUIRRE 2906,1755,30-71111625-3,(011) 46902520,No,No
Farmacia Gerardi,Farmacia,Buenos Aires,General Rodriguez,,Avenida España 116,1748,27-17882733-8,(0237) 4840479,No,No
Sivori,Farmacia,Buenos Aires,Chivilcoy,,PASO DE LA PATRIA 194,6620,27-23747284-0,(02346) 428448,No,No
Centenario Ii,Farmacia,Entre Rios,Colon,,San Martin 552,3280,27-17121343-1,(03447) 425377,No,No
Ponte Ii,Farmacia,Cordoba,Rio Tercero,,AVENIDA SAVIO ESQ. SAN MIGUEL,5850,27-18424864-1,(03571) 420298,No,No
Ponte Iii,Farmacia,Cordoba,Rio Tercero,,ACUÑA ESQ. FRAY JUSTO STA MARIA DE ORO,5850,27-18424864-1,(03571) 420298,No,No
Ponte Iv,Farmacia,Cordoba,Rio Tercero,,"IRIGOYEN y CONSTITUCIÓN, RÍO TERCERO, CBA",5850,27-18424864-1,(03571) 420298,No,No
Ponte V,Farmacia,Cordoba,Rio Tercero,,AV. SAN MARTIN 802,5850,27-18424864-1,(03571) 420298,No,No
Ponte Vi,Farmacia,Cordoba,Rio Tercero,,"GARIBALDI 327, RÍO TERCERO, CBA",5850,27-18424864-1,(03571) 420298,No,No
Universitaria I,Farmacia,Santiago Del Estero,La Banda,,Av. San Martín 180,4300,30-63828564-5,(0385) 4271339,No,No
Ponte Vii,Farmacia,Cordoba,Rio Tercero,,"LIBERTAD ESQ. OBISPO TREJO Y SANABRIA, RÍO TERCERO, CBA",5850,27-18424864-1,(03571) 420298,No,No
Farmacia Cardoso,Farmacia,Entre Rios,Diamante,,Eva peron y Mitre,3105,27-25287530-7,(03434) 982660,No,No
Farmacia Capecchi,Farmacia,Santa Fe,Venado Tuerto,,Avellaneda 207,2600,27-12741954-5,(03462) 425565,No,No
Ferrari,Farmacia,Cordoba,Hernando,,Carlos Pellegrini 154,5929,27-38476989-1,(0353)-4264979,No,No
Salud Global-Farmacia Cerviño,Farmacia,Capital Federal,Capital Federal,PALERMO,"Avenida Cerviño 4716, Buenos Aires, Argentina",1425,30-70815709-7,(011)4776-0838,No,No
Farmacia Castellani,Farmacia,Entre Rios,Hasenkamp,,Urquiza 298,3134,27-32256945-4,(0343) 4930076,No,No
Del Este,Farmacia,Buenos Aires,Berisso,,Calle 122 Numero 1848,1924,30-69142860-1,(0221) 4275292,No,No
Farmacia Arias,Farmacia,Santa Fe,San Lorenzo,,Av. Dorrego 2760,2200,20-13715144-9,(03476) 432940,No,No
Farmacia Perez,Farmacia,Buenos Aires,Sourigues,,Camino Belgrano 4228,1837,27-20364889-3,(011) 42582592,No,No
Farmacia Querini,Farmacia,Buenos Aires,La Plata,,Pza. H Yrigoyen 60,1900,27-32869930-9,(0221) 4516125,No,No
Farmacia Roma,Farmacia,Buenos Aires,Lanus,,CENTENARIO URUGUAYO 3499,1824,27-23754921-5,(011) 42207338,Si,No
Farmacia El Portal,Farmacia,La Rioja,La Rioja,,San Nicolas de Bari (este) 364,5300,23-17123292-9,(03804) 465259,No,No
Farmalife La Porteña I,Farmacia,Capital Federal,Capital Federal,ALMAGRO,CORRIENTES AVDA. 4027,C1194AAG,30-70829822-7,4862-2779,No,No
Del Pueblo,Farmacia,Buenos Aires,Capitan Sarmiento,,Av. Rivadavia 715,2752,27-28866543-0,2478481253,No,No
Farmacia Avenida,Farmacia,Buenos Aires,Tandil,,SANTAMARINA 512,7000,23-23091693-4,2494349234,No,No
Spadari Farma,Farmacia,Cordoba,San Francisco,,Bv. 9 De Julio 1499,2400,27-17573266-2,(03564) 205799,No,No
Farmacia Aguirre,Farmacia,Santa Fe,Villa Gobernador Galvez,,AVENIDA FILIPPINI 1872 ,2124,27-12500604-9,0341-4923172,No,No
Farmacia Alben,Farmacia,Cordoba,Malagueño,,Segundo D. Rodriguez 1147,5187,27-27959561-6,3515423868,No,No
Farmacia Lopez Blangino 2,Farmacia,Cordoba,Monte Cristo,,DAVID LINARES 35,5125,27-11727365-8,3512324867,No,No
Farmacia Oasis ,Farmacia,Capital Federal,Capital Federal,BELGRANO,LIBERTADOR 5990,1428,30-70807965-7,(011)4786-6388/4786-6308,No,No
 Delpiccolo,Farmacia,Santa Fe,Arequito,,B. Lopez 1923,2183,27-29736763-9,03464 15515213,No,No
Farma 365 - Bucal,Farmacia,Capital Federal,Capital Federal,VILLA URQUIZA,Av. Gral. Mosconi 2102,1431,30-70720062-2,(011) 45241300,No,No
Farmacia Del Pueblo,Farmacia,Entre Rios,Urdinarrain,,AVENIDA LIBERTAD 313,2826,27-16046401-7,3446411800,No,No
Farmacia Diorio,Farmacia,Entre Rios,Aldea Antonio,,AVENIDA LOS INMIGRANTES 129,2827,20-11236872-9,3446411800,No,No
Farmacia Dalton,Farmacia,Buenos Aires,La Plata,,CALLE 1 N 1400,1904,30-70877782-6,221-4211495,No,No
Sv Farma 6,Farmacia,Cordoba,Cordoba,,Dr. T. Achaval Rodriguez 200,5000,30-71526134-7,0351-3416401,No,No
Lagorio ,Farmacia,Buenos Aires,Capitan Sarmiento,,ROQUE SAENZ PEÑA 598,2752,27-34980346-7,02478-481863,No,No
Farmacia (Amemt),Farmacia,Buenos Aires,Tandil,,Gral. Rodríguez 589,7000,30-64125329-0,(0249) 4422542,No,No
Farmacia Maco,Farmacia,Cordoba,Cordoba,,MANUEL SOLARES 1047,5006,20-12996957-2,(0351) 4558289,Si,No
Vacunar - Abasto,Vacunatorio,Capital Federal,Capital Federal,,"Abasto Shopping, Av. Corrientes 3247 Nivel 2,",1193,30-70730135-6,011-5487900 int 4241 -0810-444-VACUNAR (8228)/ 45487900 #1127 (ANDREA AUDITORIA) ,Si,Si
Farmacia Naon,Farmacia,Capital Federal,Capital Federal,BELGRANO,Romulo Naon 2357,1430,30-70858752-0,(011) 45422105,No,No
Sv Farma 7,Farmacia,Cordoba,Salsipuedes,,Av. Belgrano 300,5113,30-71526134-7,08004440121 / 03543-492270,No,No
Marsili,Farmacia,Santa Fe,Casilda,,LISANDRO DE LA TORRE 1305,2170,27-12143554-9,03464 42-0721,No,No
Mas Vida Ii,Farmacia,Cordoba,San Francisco,,Boulevard Roque SáEnz PeñA 1196,2401,27-32901336-2,(03564) 440723,No,No
Medrano,Farmacia,Buenos Aires,Bahia Blanca,,O HIGGINS 71,8000,30-70922606-8,0291 4527021,No,No
Salud Global-Av. Santa Fe 3934 De Adrian Nepomneschi,Farmacia,Capital Federal,Capital Federal,PALERMO,"Avenida Santa Fe 3944, Buenos Aires, Argentina",1425,20-21022681-9,(011)4831-2092/2765,No,No
Farmacia Melgar,Farmacia,Buenos Aires,Gonnet,,AVENIDA 25 Nº 2863 ENTRE 503 Y 504,1900,27-17067008-1,221 - 4846618 /221 - 602 -1685,No,No
Central Oeste Para Ti,Farmacia,Buenos Aires,Ramos Mejia,,RIVADAVIA AVDA. 14002,1704,30-71428259-6,(011)4658-0196,No,No
Farmacia Central ,Farmacia,Entre Rios,Gualeguay,,Rivadavia 150,2840,27-13581668-5,444423145,No,No
Farmacia Pueyrredon Iii Scs ( Farmacia Pueyrredon ),Farmacia,Buenos Aires,Mar Del Plata,,"Avenida Juan B. Justo 1846, Mar del Plata, Provincia de Buenos Aires, Argentina",7600,30-67678141-9,(0223) - 4894040,No,No
Alem,Farmacia,Tierra Del Fuego,Ushuaia,,Leandro Alem 2654,9410,20-26886258-8,(02901) 425045,No,No
Farmacia Acigami,Farmacia,Tierra Del Fuego,Ushuaia,,Juan Facundo Quiroga 1668,9410,30-71606529-0,(02901) 449416,No,No
Grassi Sucursal I,Farmacia,San Luis,Villa Mercedes,,Av. Mitre 600,5732,30-55034012-3,(02657) 420182,Si,No
Noroeste,Farmacia,Buenos Aires,Bahia Blanca,,AVELLANEDA 798,8000,30-69586888-6,0291-4531243,No,No
Namuncura,Farmacia,San Luis,Justo Daract,,Hipolito Yrigoyen 401,5738,23-16282086-9,(02657) 235583,No,No
Farmacia Nueva,Farmacia,Tucuman,San Miguel De Tucuman,,GRAL JUAN LAVALLE 999,4000,27-29917697-0,3814173923,No,No
La Esquina,Farmacia,Santiago Del Estero,Santiago Del Estero,CENTRO,LA PLATA 99,4200,30-68664352-9,(0385)-4211772 / (0385-)4218668 CONTACTO ÁGIL,No,No
Centro Pueyrredon Farmaceutica Scs (Pueyrredon ),Farmacia,Buenos Aires,Mar Del Plata,,"Córdoba 1998, Mar del Plata, Provincia de Buenos Aires, Argentina",7600,30-71620568-8,(0223) 4955608 - (0223)- 6044310,No,No
Express Banda,Farmacia,Santiago Del Estero,Santiago Del Estero,,Rivadavia 181,4200,27-31739679-7,(0385) 4277980,No,No
Farmaplus 07 (Gabuid),Farmacia,Capital Federal,Capital Federal,CABALLITO,Avenida Rivadavia 4718,1424,30-70871348-8,(011)4902-9144,No,No
Farmacia A.M.M.B.A. Bolivar,Farmacia,Buenos Aires,Bolivar,,"Avenida Almirante Brown 155, Bolívar, Provincia de Buenos Aires",6550,30-63497331-8,(02314)426-749,No,No
Farmacia Padre Pio,Farmacia,Salta,Salta,,EL FUEGUINO 572,4401,30-71811717-4,3874537863,No,No
Farmacia Mingrone,Farmacia,Buenos Aires,San Isidro,,Av. Blanco Encalada 88 Local 4,1609,30-70890144-6,(011) 47662715,Si,No
Farmacia Pascual,Farmacia,Buenos Aires,Tres Arroyos,,LUCIO V. LOPEZ 81,7500,23-16475365-4,02983-425264,No,No
Soy Sanar 1,Farmacia,Buenos Aires,Bernal,,"Avenida Los Quilmes 1, Bernal Oeste, Provincia de Buenos Aires, Argentina",B1876IYC,30-70892950-2,(011)4251-7681/4251-3580,No,No
Soy Sanar 2,Farmacia,Buenos Aires,Quilmes,,"Avenida Calchaquí 5186, Ezpeleta Oeste, Quilmes, Provincia de Buenos Aires, Argentina",B1878TIC,33-70896054-9,(011)4210-0170,No,No
Farmacia Melffi,Farmacia,Buenos Aires,Olavarria,,Necochea 2986,7400,27-21797055-0,(02284) 410011 / 410044,No,No
Farmacia Gemma,Farmacia,Buenos Aires,Villa Bosch,,SANTOS VEGA 7510 E/CASTRO Y DEL KAISER,1682,30-70894503-6,(011) 48402821,No,No
Sol Berazategui,Farmacia,Buenos Aires,Berazategui,,"Avenida Nestor Kirchner (ex Av. Mitre) 2372, Berazategui, Provincia de Buenos Aires, Argentina",1884,30-70899249-2,(011)4216-7523,No,No
Para Ti - Del Pueblo,Farmacia,Buenos Aires,San Miguel,,Domingo Faustino Sarmiento 1610,1663,30-71131030-0,1134167022,Si,Si
Farmanexus Ii,Farmacia,Cordoba,Cordoba,,"Gral. Paz 298, X5022 Córdoba",,30-70997457-9,(0353) 5623866,No,No
Casciani,Farmacia,Santa Fe,Arroyo Seco,,Islas Malvinas 195 Oeste,,27-24750394-9,(03402) 420545 ,No,No
Grime,Farmacia,Santa Fe,Funes,,Av. Fuerza Aerea 3169,2132,27-23612194-7,(0341) 7806775,Si,No
Noya,Farmacia,Cordoba,Santa Maria De Punilla,,Av. San Martin 2200,5164,30-71670016-6,3541395202,Si,Si
Fatima,Farmacia,Chaco,Presidente Roque Saenz Peña,,"Av. Sarmiento 369, H3700aad SáEnz PeñA, Chaco",3700,27-20651790-0,(0364) 4467794,No,No
Openfarma Sucursal Bikaner,Farmacia,Capital Federal,Capital Federal,BALVANERA,"Avenida Corrientes 1880, AAN, Buenos Aires, Argentina",1045,30-71124567-3,(011)4371-5405,No,No
 Farmaplus 18 Caballito I,Farmacia,Capital Federal,Capital Federal,CABALLITO,Avenida Rivadavia 5014,1424,30-69914319-3,(011)4901-0970,No,No
Polini Saenz Pena,Farmacia,Chaco,Presidente Roque Saenz Peña,,DOCTOR MARIANO MORENO 197,3700,20-20264162-9,(0364) 4421335,No,No
